"","X099535T","X090608T","X098699T","X11770T","X81023T","X81032T","X85421T","X86279T","X86960T","X87823T","X88659T","X88674T","X88724T","X89290T","X96484T"
"KIR2DL1",-19.807240434322,-2.25848727954265,-4.91546979274271,-5.54772255198218,-3.12423880609086,-24.1694323994231,-20.9904622583777,-18.3227593266487,-4.15316541194107,-4.92810775477606,-4.13884943563719,-4.91159567469394,-3.64697216689576,-5.57927680500776,-24.6494253405427
"KIR2DL3",-3.77511214443393,-0.976148527905712,-5.91322927522798,-2.96050782061844,-2.31463211076076,-24.1694323994231,-3.19857973684733,-18.3227593266487,-2.73586956237448,-4.92608436694114,-4.13683542212739,-17.7875221997075,-5.22966110963101,-5.57704367987482,-24.6494253405427
"KIR2DL4",-4.046899585968,-0.237149464635673,-5.77120864017785,-0.361446039647441,-1.0152342196427,-24.1694323994231,-0.636927629591538,-18.3227593266487,-3.13160401522576,-2.32381926437757,-20.6189033957658,-1.89230141930049,-3.08502530429334,-5.43553871118027,-5.74338155839786
"KIR3DL1",-6.08360101477356,-3.04727878472227,-19.7680698370413,-3.5316214637816,-5.42951997046739,-24.1694323994231,-6.06357560980005,-5.49505871672758,-3.23704744129607,-19.1159931404616,-5.41533915025574,-17.7875221997075,-2.95557510347563,-19.1917204666248,-24.6494253405427
"KIR3DS1",-19.807240434322,-20.0269881344029,-19.7680698370413,-19.3659713934699,-16.7346468355038,-24.1694323994231,-20.9904622583777,-18.3227593266487,-19.0676301189002,-19.1159931404616,-20.6189033957658,-17.7875221997075,-19.4461417421539,-19.1917204666248,-24.6494253405427
"NCR1",-4.42089401641574,-20.0269881344029,-3.57572369591489,-3.84272030236206,-1.92219917567642,-3.97737907612377,-3.14800755711797,-4.4782239759354,-2.76881338677214,-19.1159931404616,-4.00457539717512,-3.7724895766812,-2.28788850053372,-2.20408014794308,-4.54232040439408
"PTGDR",-6.81298756659674,-3.28571315314793,-6.94620334108988,-3.41157303875849,-2.34919868478978,-24.1694323994231,-3.42173481446644,-3.41811082550596,-4.18827251314723,-1.7146048836539,-6.09311309769551,-4.86754581629811,-3.27313391462656,-3.14688260877645,-4.59745244129076
"SH2D1B",-4.56921032696764,-2.26636452395713,-4.11830343424494,-0.531306171833413,-2.0070807828557,-24.1694323994231,-2.51430938985313,-4.98194244942357,-3.20813426357266,-3.65553506251835,-2.86416572164716,-3.63848494842146,-3.7070693958777,-3.55730677872515,-4.67682779982709
"ADAP2",1.66861385973344,1.57116225001254,1.27287720287009,3.04230988753713,2.08783959005243,1.68208332705366,1.84038669095034,2.25995035676047,2.55864234318519,2.9440600585873,1.16093309237242,3.42402180207976,2.77119892042008,1.32342771806093,0.674478730332208
"CSF1R",0.418189947945766,1.08551303731328,2.54111086794422,4.39954710276509,3.84738563542592,3.15955168893011,3.29661158028255,3.726874802327,4.31243283680922,5.23809132516932,2.28188515786255,5.45770919335759,4.80440985072803,3.08980150523649,4.02304239266586
"FPR3",-0.85701417247021,-1.25468176732943,2.08980319977463,4.42043524123039,2.64850455863053,2.66924224631749,3.88043085192838,2.98112198979431,3.38255659116327,4.1676630068528,0.486673189355189,5.28241756390421,3.84390346882666,1.93703924683135,1.34612293371242
"KYNU",4.87820054050142,-2.82414713730925,4.497120526508,3.01691523254419,4.81027342552694,4.37354381573127,3.35696073038077,4.82703650597056,0.58177543597481,4.41732596166946,2.3431633251802,5.32663082116609,5.30887049936615,3.50898635299916,2.26506177057807
"PLA2G7",0.15118340984964,-0.919787150925963,1.73827064273277,2.39162201359462,1.98546399815193,0.998975322717473,3.21089378168981,-0.0797371930051105,1.52889132664458,2.82862345838226,1.57561245749592,2.47109379274495,1.96867324355383,1.66635212618967,-0.0910779817682779
"RASSF4",2.69783385647814,2.21368322334912,2.64255602439945,4.80650966739919,4.46095220451234,2.62245483897145,4.75111553845821,2.76888088564799,4.98603769772286,4.77845566408222,3.6800092252282,6.22648348280235,5.66848224954133,2.56831672310207,2.20110059271843
"TFEC",-2.69810804414584,-4.55304001249343,-1.34516855143827,0.490734413765864,-0.0654925565668773,-1.02385049296635,0.716499306952346,-0.217797788771562,-0.257033174919326,-0.261259828628397,-2.91177154546099,2.01096956036529,0.474264700873302,-1.40456890573197,-2.55516333900727
"CD1A",-19.807240434322,0.674930626017989,-6.38568705171586,-1.62769419595916,-3.59572988474187,-24.1694323994231,-2.21701447244111,-18.3227593266487,-4.21107846664708,3.05915450473993,-5.56806345198969,2.22801825363819,-1.18471641851535,-0.655578241297216,-4.35887130306448
"CD1B",-19.807240434322,-2.23617713547266,-4.08478292896995,-2.97869084760394,-16.7346468355038,-24.1694323994231,-1.75780360929128,-18.3227593266487,-19.0676301189002,-0.900887963906113,-20.6189033957658,0.665601973943311,-1.98210658996402,-4.33461887244552,-5.64172978242959
"CD1E",-3.72221801765772,-0.739133669490221,-3.35073441678847,-0.293825772489184,-2.46080644052666,-5.91800162859406,0.38694334835437,-2.85432515306894,-2.3300008772835,1.31183439740283,-4.86415521721084,0.510121367876227,-0.173906738918978,-1.04995568480627,-2.82026985506591
"CLEC10A",-0.742019058123278,-1.15930555060616,0.887548665606617,-0.412531311582794,-1.02506253230953,-2.73568697133567,2.16757309550298,-0.31184471251448,-0.472411148357189,0.900961455328924,-0.989094154676643,2.94227802472287,1.84110764478056,0.318380477607476,-3.23651703620151
"CLIC2",-0.762186676653179,-0.628684255470765,-0.802763645081293,2.21619098070386,0.644557746037958,-0.222706963141664,2.26209935672221,1.016004164987,0.436140513287784,2.75445997362548,-0.150439418529059,1.94015923153141,1.21050731768865,0.644585432050482,-1.7320304099542
"WFDC21P",-19.807240434322,-1.45464045807084,-1.87200229597861,1.64853446984682,-16.7346468355038,-1.2031896364427,2.87081841898403,-2.09620277879135,0.506256637046988,1.25597802762436,-0.489805697419828,1.44644151827105,0.203952853632504,-0.553692945785896,0.687177174541019
"CA4",1.48027546391733,-2.45999654433723,-5.30673885100566,-4.93507742657462,-4.5130801379967,-3.3993222384694,-4.24728017716063,2.96810734524743,-19.0676301189002,-19.1159931404616,-0.356527964493847,-3.37541281306914,-3.02660473165856,-19.1917204666248,-0.692876950459822
"CEACAM3",-1.59554588303365,-5.140746651391,-4.32202908707499,-3.36549074020411,-0.383538786525058,-4.999704566307,-1.19603568266123,-18.3227593266487,-1.16953372347715,-1.82476029344109,-4.45747924266853,-0.807321019122501,-0.829008439766371,-3.80094773507078,-0.953684965625385
"CXCR1",-3.72962846199215,-20.0269881344029,-1.34923911654394,-3.72150037682297,1.42196920023412,-2.55005941480233,0.070512982166938,-18.3227593266487,1.8508874140404,-2.81798917137364,-2.51211032867671,0.224583652884188,1.01461238403633,-2.74767154478057,-0.494946482777805
